Artists,Album,Genre,Lyrics,Mood,MoodValue
Bob Dylan,Trying To Get To Heaven,Rock,"The air getting hotter There's rumbling skies I've wading high muddy water With heat rising eyes Every day memory grows dimmer It haunt like I've walking middle nowhere Tryin' get heaven close door When I Missouri They would let I leave hurry I saw let see You broke heart loved Now seal book write anymore I've walking lonesome valley Tryin' get heaven close door People platforms Waiting trains I hear hearts a-beatin' Like pendulums swinging chains When think lost everything You find always lose little I'm going road feeling bad Tryin' get heaven close door I'm going river Down New Orleans They tell everything gonna right But I know ""all right"" even means I riding buggy Miss Mary Jane Miss Mary Jane got house Baltimore I around world, boys Now I'm tryin' get heaven close door Gotta sleep parlor And relive dreams I'll close eyes I wonder If everything hollow seems Some trains pull gamblers No midnight ramblers, like I Sugartown, I shook sugar Now I'm tryin' get heaven close door",Happy,1
Snow Patrol,Spitting Games,Rock,"I broke house last night And left note bedside I'm far shy speak school You leave numb, I'm sure I find easier sit stare Than push limbs towards right My heart bursting perfect eyes As blue oceans pure skies I struggle words give My head's birds T hut A little peace mind I know better Than plain disgrace letters But floodgates opened And I fell love everyone I saw Please take time, I'm rush And everything I ever write It's I need extra weight Confused enough life, thanks lot Lonely written words company Just raise roof follow I struggle words give My head's birds T hut A little peace mind I know better Than plain disgrace letters",Happy,1
Rise Against,Drones,Rock,"Deep inside burning buildings Voices die heard Years spent teaching lesson We never learned And strength born heartbreak Then mountains I could move And walls could speak I'd pray That would tell If see me, please walk by, walk Forget name I'll forget failed attempts living simple lives, simple lives Always keep coming back No signs life here, save embers, occasional flame We'd know way can't remember, conception grave Shout confessions greatest heights, one hear All fears, insecurities falling like tears If see me, please walk by, walk Forget name I'll forget failed attempts living simple lives, simple lives Always keep coming back you. The drones slave away, they're working overtime They serve faceless queen, never question disciples God, neither live breathe bills pay, yeah mouths feed! I come back! And see me, please walk by, walk Forget name I'll forget failed attempts living simple lives, simple lives Always keep coming back I'm coming back you!",Sad,0
Lesley Gore,It's My Party,Pop,"It's party I'll cry I want Cry I want Cry I want You would cry too, happened Nobody knows Johnny gone But Judy left time Why holding hand When he's supposed mine? It's party I'll cry I want Cry I want Cry I want You would cry too, happened Play records, keep dancing night But leave alone awhile Till Johnny's dancing I've got reason smile It's party I'll cry I want Cry I want Cry I want You would cry too, happened Judy Johnny walked door Like queen king Oh, birthday surprise Judy's wearing ring It's party I'll cry I want Cry I want Cry I want You would cry too, happened Oh, party I'll cry I want Cry I want Cry I want You would cry too, happened Oh, party I'll cry I want",Happy,1
Thrice,The Earth Isn't Humming,Rock,"I hear times end And another one must fall I think I believe When another one must fall Give us distance And another one fall The sun open sky Fall down, fall Stare back eyes Fall down, fall A stranger skin Fall down, fall One decade later And another one must fall The earth humming I watched fall Fell sound front Unchanged around Directionless, open sea We'll watch time tumbles The sun open sky Fall down, fall Stare back eyes Fall down, fall A stranger skin Fall down, fall Fall",Sad,0
Snow Patrol,New Sensation,Rock,Live baby live Now day I got new sensation In perfect moments Impossible refuse Sleep baby sleep Now night And sun comes like god Into room All perfect light promises Gotta hold A new sensation A new sensation Right Gonna take A new sensation A new sensation Dream baby dream Of that's come going And find In end There really There really difference Cry baby cry When got get I'll shoulder You tell Don't keep ya Well that's reason I'm Are ready new sensation A new sensation Right Gonna take new sensation A new sensation Hate baby hate When there's nothing left You're human What It'll soon Don't let pain take Love baby love It's written face There's nothing better could Than live forever Well that's we've got Are ready new sensation A new sensation Are ready new sensation A new sensation,Happy,1
Salt The Wound,From My Hands,Rock,"With death hands I'll clean filth scratching stains lying tongue spoke, chords string I'll pull cast life shit flood rise I belong. Drenched self-righteousness I'm letting go apathy, I put front victim anymore. So sick cheap excuses everyone I know I'm scattering ashes I was. Letting go person I used looking back laughing I believe. Escaping plagues life, letting go regret, I'm casting past flood forgetting every line spent. With death hands I'll clean this. Scratching stains every lie spoke, sarcasm infecting everything say, scarred hands I'll pull rise I belong, scarred hands I reborn.",Sad,0
The Misfits,The Haunting,Rock,"The darkness bleeds violent sighs And purges within Death, holds arms And kisses goodnight Oh, oh, oh darkness comes Oh, oh, oh I feel bite It purges within It's over, haunting They cut wrists watch bleed Inside dream And over, haunting They cut wrists watch bleed They stop haunting Darkness bleeds violent sighs And purges within Death holds arms And kisses goodnight",Sad,0
Dickies,Just Say Yes,Rock,You say there's someplace gotta Find peace mind serenity With little help modern chemistry 25 dollars buy Just say yes... yes Just say yes... yes You're sliding slippery slope You're reason call dope Yellin' someone throw yo uthe rope Tell friends try Just say yes... yes Just say yes... yes I know they're saying Russian roulette I'm playing It's straight I staying Inside chapel praying My conscience I'll saving For I'll keep saying yes Now I'm age 43 Waiting phone new kidney I wish I hurt take pee That's gonna stop Just say yes... yes Just say yes... yes Just say yes,Happy,1
Audio Adrenaline,Some Kind Of Zombie (Criscoteque Remix),Rock,"I must confused vain To let evil brain Lord, I enjoy change That You made inside heart Oh come But I'm afraid There's temptation I can't evade I stand straight I look haze I begin walk maze Here come They're But I'm dead sin Like kind zombie I hear You speak I obey I walk away grave I never afraid I gave life away I'm obliged obey I'm enslaved You say Oh come But I'm afraid There's temptation I can't evade I stand straight I look haze I begin walk maze Here come They're But I'm dead sin Like kind zombie I hear You speak I obey I walk away grave I never afraid I gave life away I stand straight I look haze I begin walk maze Here come They're But I'm dead sin Like kind zombie I hear You speak I obey I walk away grave I never afraid I gave life away I never afraid I never afraid I never afraid",Happy,1
Kiss,Radar For Love,Rock,"Passion fire runnin' veins Get little bit love I go insane I may talk big, baby, I lie Ooh, guys know girls know Ooh, girls know why, wow Get get I know Get get I know it, oh Radar love Radar love I've got radar love Radar, ooh yeah When feel hot can't hold still And know gonna get fill Send S.O.S. baby, I'm man If I make good honey, one Oh one can, wow Get get I know it, come Get get I know it, oh Radar love Radar love I've got radar love Radar, oh, oh, oh Radar love Radar love Radar Radar love, oh Yeah, ooh yeah Oh, one time Get Ooh get down, get Oh, oh, oh Radar love Radar love I've got radar love Radar, ooh baby, baby Radar love Radar love Radar, n-n-n-n-now Radar love, come Radar, ooh Radar, ooh yeah Radar, oh Radar, oh yeah Radar, oh yeah Radar love Radar, come Radar, ha Radar Radar, S.O.S Radar Radar, d-d-d-d-d-d-get message, sugar",Happy,1
Back Door Slam,Heavy On My Mind (Album Version),Rock,"Late night, end road Headlights headstones Maybe mind playing tricks Mouth dry, heart skips beat Ground spinning underneath feet Maybe mind playing tricks Every creak door, every foot step I hear Every hollow wind, makes tremble fear, fear Another sleepless night, oh woh heavy mind Lord I can't escape, conscienss thought I left way behind Oh woh, heavy mind Try sleep, I swear I saw Something moving corridor Maybe mind playing tricks Wake cold sweat, nightmare ain't yet Maybe mind playing tricks Every portrait every room Seems follow every move Another sleepless night, oh woh heavy mind Lord I can't escape, conscienss thought I left way behind Oh woh, heavy mind Every creak door, every foot step I hear Oh no. Every hollow wind, makes tremble fear, fear Another sleepless night, oh woh heavy mind Lord I can't escape, conscienss thought I left way behind Oh woh, heavy mind Heavy mind",Sad,0
